length(mm),swing(rad),up_down(rad),FR(N),FL(N),RR(N),RL(N),External_force(N),Time(sec)
837.27784,0,0,0,0,4.37E-06,0,0,0
837.27784,0,0,13508.899,14384.809,0,0,0,0.080121
837.27784,0,0,9770.6906,10388.21,0,0,0,0.160121
837.27784,0,0,25150.676,27083.609,0,0,0,0.240121
837.27784,0,0,29953.762,31991.24,0,4.8823176,0,0.320121
837.27784,0,0,32732.927,34745.994,80.405066,194.00348,0,0.400121
837.27784,0,0,33604.583,35947.663,0,4.3825915,0,0.480121
837.27784,0,0,29337.428,31140.898,0.28109832,8.0067439,0,0.560121
837.27784,0,0,25747.02,27627.207,0,0,0,0.640121
837.27784,0,0,22145.527,23803.004,0,0,0,0.720121
837.27784,0,0,20933.952,22470.888,0,0,0,0.800121
837.27784,0,0,26594.238,28309.45,0,0,0,0.880121
837.27784,0,0,39798.59,41662.779,3844.2591,4393.7626,0,0.960121
837.27784,0,0,67788.39,69782.338,29525.857,30761.211,0,1.040121
837.27784,0,0,90704.364,92786.301,63256.58,64919.24,0,1.120121
837.27784,0,0,75795.619,77671.371,32005.703,33146.802,0,1.200121
837.27784,0,0,48053.859,50261.613,4205.2073,4828.2797,0,1.280121
837.27784,0,0,45161.48,47284.736,5260.478,5947.095,0,1.360121
837.27784,0,0,66240.91,68053.33,33948.78,35175.967,0,1.440121
837.27784,0,0,71166.002,72942.678,34113.24,35265.879,0,1.520121
837.27784,0,0,54673.182,56585.438,13069.581,13943.791,0,1.600121
837.27784,0,0,53681.092,55779.696,15683.667,16749.513,0,1.680121
837.27784,0,0,65474.884,67443.944,27888.396,29097.359,0,1.760121
837.27784,0,0,67176.016,68778.317,28745.273,29723.619,0,1.840121
837.27784,0,0,56704.677,58632.323,18528.563,19565.999,0,1.920121
837.27784,0,0,53384.227,55507.07,15943.193,17042.666,0,2.000121
837.27784,0,0,61815.384,63710.476,23791.743,24900.177,0,2.080121
837.27784,0,0,67577.955,69179.602,29343.803,30324.51,0,2.160121
837.27784,0,0,60261.34,62132.75,21981.492,23038.957,0,2.240121
837.27784,0,0,53676.698,55790.145,16199.832,17293.152,0,2.320121
837.27784,0,0,58449.9,60419.49,20555.824,21658.178,0,2.400121
837.27784,0,0,66496.908,68170.282,28322.731,29336.152,0,2.480121
837.27784,0,0,63385.456,65146.549,25056.327,26093.837,0,2.560121
837.27784,0,0,55212.461,57267.399,17526.525,18619.372,0,2.640121
837.27784,0,0,56028.909,58081.387,18347.603,19455.836,0,2.720121
837.27784,0,0,64211.248,65976.602,26065.033,27114.844,0,2.800121
837.27784,0,0,65407.043,67078.989,27142.306,28152.487,0,2.880121
837.27784,0,0,57651.418,59620.061,19671.785,20753.696,0,2.960121
837.27784,0,0,54894.468,56976.623,17336.255,18439.987,0,3.040121
837.27784,0,0,61423.543,63287.819,23369.148,24448.525,0,3.120121
837.27784,0,0,65983.557,67649.724,27790.537,28802.398,0,3.200121
837.27784,0,0,60350.706,62212.983,22172.185,23237.664,0,3.280121
837.27784,0,0,55045.99,57101.412,17439.793,18533.612,0,3.360121
837.27784,0,0,58860.22,60815.404,20961.644,22056.671,0,3.440121
837.27784,0,0,65217.172,66929.803,27065.622,28097.629,0,3.520121
837.27784,0,0,62688.116,64471.665,24456.175,25498.88,0,3.600121
837.27784,0,0,56236.97,58248.632,18451.341,19537.287,0,3.680121
837.27784,0,0,57012.308,59033.338,19264.999,20368.571,0,3.760121
837.27784,0,0,63521.373,65296.973,25415.203,26466.101,0,3.840121
837.27784,0,0,64222.326,65941.585,26004.686,27034.612,0,3.920121
837.27784,0,0,58045.488,59998.42,20083.728,21163.871,0,4.000121
837.27784,0,0,56110.357,58145.377,18435.03,19533.377,0,4.080121
837.27784,0,0,61446.962,63296.28,23418.789,24493.944,0,4.160121
837.27784,0,0,64711.276,66424.221,26544.793,27573.132,0,4.240121
837.27784,0,0,60074.813,61955.846,21963.369,23029.868,0,4.320121
837.27784,0,0,56151.164,58164.824,18444.496,19535.809,0,4.400121
837.27784,0,0,59490.719,61417.744,21574.287,22666.154,0,4.480121
837.27784,0,0,64226.997,65972.698,26109.379,27151.781,0,4.560121
837.27784,0,0,61860.932,63670.542,23688.245,24741.534,0,4.640121
837.27784,0,0,56964.665,58940.392,19147.945,20231.536,0,4.720121
837.27784,0,0,58038.893,60014.643,20211.184,21310.108,0,4.800121
837.27784,0,0,63059.536,64851.595,24982.04,26040.176,0,4.880121
837.27784,0,0,63075.288,64843.52,24906.528,25950.154,0,4.960121
837.27784,0,-3.78E-05,58522.819,60458.451,20204.95,21275.301,0,5.040121
837.27784,0,-0.000337254,57811.302,59846.633,19270.596,20375.871,0,5.120121
837.27784,0,-0.000931029,61768.835,63600.179,23600.882,24666.239,0,5.200121
837.27784,0,-0.001814327,64209.709,66015.591,25091.986,26152.448,0,5.280121
837.27784,0,-0.00298232,59838.922,61723.324,21743.542,22801.271,0,5.360121
837.27784,0,-0.004430185,57677.518,59703.405,19118.277,20216.863,0,5.440121
837.27784,0,-0.006153095,60232.514,62129.559,22169.662,23247.473,0,5.520121
837.27784,0,-0.008146224,63794.632,65591.961,25082.5,26141.276,0,5.600121
837.27784,0,-0.010404749,61427.639,63273.061,22993.169,24056.083,0,5.680121
837.27784,0,-0.012923842,57859.767,59828.393,19778.946,20863.468,0,5.760121
837.27784,0,-0.015698679,59157.77,61116.585,20896.676,21990.9,0,5.840121
837.27784,0,-0.018724433,62668.08,64472.589,24539.934,25603.804,0,5.920121
837.27784,0,-0.021996281,62576.723,64404.557,23983.441,25041.812,0,6.000121
837.27784,0,-0.025509395,58646.842,60564.011,20824.741,21899.662,0,6.080121
837.27784,0,-0.029258951,58351.133,60339.332,20240.035,21345.658,0,6.160121
837.27784,0,-0.033240122,61367.319,63206.381,23523.041,24591.18,0,6.240121
837.27784,0,-0.037448085,62905.046,64699.436,24613.604,25664.461,0,6.320121
837.27784,0,-0.041878012,59846.997,61710.009,22021.923,23087.12,0,6.400121
837.27784,0,-0.046525079,57977.476,59940.246,20279.332,21371.316,0,6.480121
837.27784,0,-0.051384461,60046.522,61942.437,22378.47,23466.571,0,6.560121
837.27784,0,-0.05645133,62493.527,64277.171,24668.922,25722.273,0,6.640121
837.27784,0,-0.061720863,60996.288,62824.345,23222.168,24278.192,0,6.720121
837.27784,0,-0.067188234,58210.086,60135.971,20890.731,21973.296,0,6.800121
837.27784,0,-0.072848616,58904.09,60841.564,21521.284,22620.224,0,6.880121
837.27784,0,-0.078697186,61499.743,63307.755,24154.914,25217.277,0,6.960121
837.27784,0,-0.084729116,61685.33,63475.884,24161.921,25211.91,0,7.040121
837.27784,0,-0.090939582,58950.312,60825.208,21918.807,22987.911,0,7.120121
837.27784,0,-0.097323759,58180.455,60112.546,21206.217,22306.79,0,7.200121
837.27784,0,-0.10387682,60194.519,62049.43,23326.954,24407.831,0,7.280121
837.27784,0,-0.11059394,61679.727,63459.051,24590.282,25642.994,0,7.360121
837.27784,0,-0.11747029,59886.658,61696.528,23129.911,24187.442,0,7.440121
837.27784,0,-0.12450106,58066.301,59973.642,21524.769,22616.299,0,7.520121
837.27784,0,-0.1316814,58916.601,60795.883,22555.958,23651.836,0,7.600121
837.27784,0,-0.1390065,60969.954,62765.433,24430.953,25499.021,0,7.680121
837.27784,0,-0.14647154,60570.055,62326.754,24201.03,25243.598,0,7.760121
837.27784,0,-0.15407168,58509.121,60349.147,22394.656,23466.642,0,7.840121
837.27784,0,-0.1618021,58022.168,59908.592,22211.722,23310.669,0,7.920121
837.27784,0,-0.16965798,59762.862,61603.396,23866.348,24957.521,0,8.000121
837.27784,0,-0.17763448,60623.366,62381.959,24785.948,25838.157,0,8.080121
837.27784,0,-0.1857268,59206.03,60992.852,23558.659,24610.781,0,8.160121
837.27784,0,-0.19393009,57752.391,59598.58,22486.751,23572.667,0,8.240121
837.27784,0,-0.20223953,58496.298,60350.818,23291.822,24398.985,0,8.320121
837.27784,0,-0.2106503,59959.784,61737.027,24786.678,25859.223,0,8.400121
837.27784,0,-0.21915757,59701.466,61436.534,24607.722,25656.209,0,8.480121
837.27784,0,-0.22775652,58047.029,59827.463,23331.664,24394.066,0,8.560121
837.27784,0,-0.23644233,57605.829,59439,23122.241,24215.273,0,8.640121
837.27784,0,-0.24521015,58799.502,60612.381,24394.381,25494.476,0,8.720121
837.27784,0,-0.25405518,59572.417,61320.219,25188.989,26259.745,0,8.800121
837.27784,0,-0.26297259,58561.51,60283.482,24432.678,25480.149,0,8.880121
837.27784,0,-0.27195754,57347.847,59115.854,23549.191,24624.145,0,8.960121
837.27784,0,-0.28100522,57654.205,59450.447,24054.996,25144.437,0,9.040121
837.27784,0,-0.29011079,58767.304,60546.626,25224.225,26313.945,0,9.120121
837.27784,0,-0.29926944,58764.325,60485.637,25357.129,26418.392,0,9.200121
837.27784,0,-0.30847634,57566.555,59285.183,24462.374,25520.451,0,9.280121
837.27784,0,-0.31772665,56938.89,58689.778,24145.516,25219.634,0,9.360121
837.27784,0,-0.32701557,57647.775,59405.647,24991.927,26086.504,0,9.440121
837.27784,0,-0.33633826,58362.681,60090.096,25804.352,26887.624,0,9.520121
837.27784,0,-0.34568989,57822.576,59521.758,25484.588,26547.953,0,9.600121
837.27784,0,-0.35506564,56774.508,58473.708,24776.727,25841.494,0,9.680121
